Volatility 3 Framework 2.7.0

Offset	PID	TID	StartAddress	CreateTime	ExitTime
0xa08516d7d0c0	940	976	0xcb09616f8700	2024-06-11 16:44:07.000000 	-
0xa08516d7e040	940	964	0xcb09616f8f40	2024-06-11 16:44:07.000000 	-
0xa08516d81080	668	936	0xcb09625e8240	2024-06-11 16:44:06.000000 	-
0xa08516d82080	4	932	0xf800756b80c0	2024-06-11 16:44:06.000000 	-
0xa08516d83080	824	928	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516d84080	824	924	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516d85040	824	920	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516d86080	848	916	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516d87080	848	912	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516d88080	448	908	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516d89080	848	904	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516d8a080	848	900	0x7ffc932a2690	2024-06-11 16:44:06.000000 	-
0xa08516dd0080	6376	7564	0x7ffc932a2690	2024-06-11 16:47:25.000000 	-
0xa08516dd1080	824	500	0x7ffc932a2690	2024-06-11 16:44:07.000000 	-
0xa08516dd3080	556	472	0x7ffc932a2690	2024-06-11 16:44:07.000000 	-
0xa08516dd4080	388	356	0x7ffc932a2690	2024-06-11 16:44:07.000000 	-
0xa08516dd5080	3848	7308	0x7ffc932a2690	2024-06-11 16:44:54.000000 	2024-06-11 16:46:38.000000 
0xa08516e130c0	648	380	0xcb09625e9ec0	2024-06-11 16:44:07.000000 	-
0xa08516e14080	3732	2228	0x7ffc932a2690	2024-06-11 16:49:12.000000 	-
0xa08516e15080	824	376	0x7ffc932a2690	2024-06-11 16:44:07.000000 	-
0xa08516e16080	556	292	0x7ffc932a2690	2024-06-11 16:44:07.000000 	-
0xa08516e17080	992	1020	0xcb09616f96c0	2024-06-11 16:44:07.000000 	-
0xa08516e18080	992	1016	0x7ffc932a2690	2024-06-11 16:44:07.000000 	-
0xa08516e19040	992	1012	0x7ffc932a2690	2024-06-11 16:44:07.000000 	-
0xa08516e1a080	7036	4436	0x7ffc932a2690	2024-06-11 16:49:38.000000 	-
0xa08516e1b080	992	1004	0xa08516e1b4c8	2024-06-11 16:44:07.000000 	2024-06-11 16:44:07.000000 
0xa08516e1c080	3736	7352	0x7ffc932a2690	2024-06-11 16:45:41.000000 	-
0xa08516e1d080	992	996	0x7ffc932a2690	2024-06-11 16:44:07.000000 	-
0xa08516e1e080	1032	1152	0x7ffc932a2690	2024-06-11 16:45:19.000000 	-
0xa08516e63080	2484	2108	0x7ffc932a2690	2024-06-11 16:49:27.000000 	-
0xa08516e64080	940	428	0x7ffc932a2690	2024-06-11 16:49:35.000000 	-
0xa08516e65080	2544	4280	0x7ffc932a2690	2024-06-11 16:49:41.000000 	-
0xa08516e860c0	940	420	0x7ffc932a2690	2024-06-11 16:44:08.000000 	-
0xa08516e87040	3152	5772	0x7ffc932a2690	2024-06-11 16:49:27.000000 	-
0xa08516e88080	384	772	0x7ffc932a2690	2024-06-11 16:44:08.000000 	-
0xa08516e8a080	6700	7332	0x7ffc932a2690	2024-06-11 16:44:55.000000 	-
0xa08516e8c080	4644	8032	0x7ffc932a2690	2024-06-11 16:49:32.000000 	-
0xa08516e8d080	2484	7356	0x7ffc932a2690	2024-06-11 16:44:58.000000 	-
0xa08516e8e080	7968	5820	0x7ffc932a2690	2024-06-11 16:49:33.000000 	-
0xa08516e90080	4956	8120	0x7ffc932a2690	2024-06-11 16:45:08.000000 	-
0xa08516e91080	3736	3424	0xcb09647bf4e0	2024-06-11 16:45:39.000000 	-
0xa08516e93080	1564	7376	0x7ffc932a2690	2024-06-11 16:44:58.000000 	2024-06-11 16:45:02.000000 
0xa08516ea4080	844	1064	0xcb09616fbd00	2024-06-11 16:44:08.000000 	-
0xa08516ea5040	4	1060	0xf800752c3ce0	2024-06-11 16:44:08.000000 	-
